dates,Portfolio,Market,Size,Value,Momentum
1984m4,-0.0150953,0.017269,-0.0324478,0.0066676,0.0163717
1984m5,-0.074772,-0.1112687,0.0114166,0.0122181,-0.0196388
1984m6,0.0162497,0.0191382,-0.0014298,0.035587,-0.0029519
1984m7,-0.0362255,-0.0313535,0.0006743,0.0209416,-0.009326
1984m8,0.016857,0.092506,0.0032395,-0.0073279,-0.0115979
1984m9,0.0132158,0.0255941,-0.0090617,-0.0149637,-0.0189632
1984m10,0.021665,0.0102821,-0.0071962,0.0185586,0.0305674
1984m11,0.0098522,0.0275404,0.0130625,-0.0090715,0.0394683
1984m12,0.0509574,0.0549598,-0.0021304,0.0098116,0.0380908
1985m1,0.0147893,0.0311574,-0.0064702,0.0298761,0.0277116
1985m2,0.02763,-0.0175393,0.0294383,-0.0011739,-0.0027306
1985m3,0.0364689,0.007288,0.0213777,0.0029654,0.0108655
1985m4,0.0072011,0.0039698,0.0009232,0.007491,-0.0034322
1985m5,0.0550046,0.0138208,-0.000664,0.0352827,0.0210235
1985m6,-0.0426163,-0.0665658,-0.0056113,0.0492101,-0.0022806
1985m7,0.0419569,0.0136249,0.0042109,0.0014046,0.0005856
1985m8,0.0592838,0.0608784,-0.000652,-0.0074961,0.0041059
1985m9,0.01882,-0.0359606,0.0140117,0.037626,0.0407693
1985m10,0.051227,0.065924,0.0039807,0.0141347,0.0450248
1985m11,0.0484778,0.0335226,-0.0242869,-0.0105667,0.0006867
1985m12,0.0374296,-0.0248351,-0.0023477,0.0093818,-0.033715
1986m1,0.0508586,0.0138068,0.0232925,0.0418986,-0.0080143
1986m2,0.0924982,0.0723945,-0.0120838,-0.0302829,0.0218466
1986m3,0.0433811,0.0743092,-0.0160253,0.0097231,0.0565782
1986m4,0.0867242,0.0025986,0.0612535,0.0121524,0.0191934
1986m5,0.0235257,-0.0379939,0.0144534,0.0286014,-0.0086936
1986m6,0.0396537,0.0298338,0.0006062,0.0201453,0.019111
1986m7,0.0298483,-0.0581884,0.0215328,0.0043322,-0.0053434
1986m8,0.0281546,0.0545795,-0.0435215,-0.0090217,-0.0297982
1986m9,-0.0148636,-0.0635218,0.014049,0.0382021,0.0141849
1986m10,0.0841858,0.0451847,-0.005811,0.0281472,-0.0161919
1986m11,0.0694231,0.004903,0.0237923,0.0284456,-0.0064688
1986m12,0.0414673,0.019721,0.0007401,0.0314935,-0.0009449
1987m1,0.0737279,0.0760776,0.0099703,0.0102357,0.0204516
1987m2,0.1224769,0.0833178,-0.0188739,-0.0566635,-0.0114116
1987m3,0.1048186,0.0126467,0.0420013,0.0475136,0.032086
1987m4,0.0444637,0.0189974,-0.0007962,0.0152582,-0.0171822
1987m5,0.131283,0.0680555,0.0042703,0.0012713,0.0164823
1987m6,0.2165317,0.0465619,0.0732048,0.0456378,0.0370262
1987m7,0.2725369,0.037928,0.0530494,0.0184501,0.0124952
1987m8,-0.0604637,-0.0515882,-0.0041129,0.0005553,-0.0063534
1987m9,0.0292661,0.0490607,-0.0007709,-0.0000541,0.0049892
1987m10,-0.1836056,-0.2705746,0.0214637,0.0503807,-0.0483756
1987m11,-0.1577554,-0.1058514,-0.0484776,0.0304328,-0.0114699
1987m12,-0.0002444,0.0902068,-0.0078604,0.0174726,-0.0325402
1988m1,0.0361906,0.0494158,0.0127926,0.0004411,-0.0085179
1988m2,0.000623,-0.0120456,0.0091019,0.0080893,0.0035033
1988m3,-0.0174391,-0.0153649,0.0186275,0.0206623,0.0317328
1988m4,0.0516018,0.0323243,-0.0058861,0.0103791,0.0060919
1988m5,0.0233949,-0.0072738,0.0229361,0.0001223,0.0261566
1988m6,0.0345099,0.0391073,-0.0083498,0.0020622,-0.0302534
1988m7,0.0341634,-0.002358,0.0193053,0.0206167,0.015098
1988m8,0.0040244,-0.0614779,-0.0005181,0.0175032,0.0128037
1988m9,0.0012866,0.0333409,-0.0305311,0.0113489,0.0146389
1988m10,0.061771,0.0149692,0.0152531,0.0148209,-0.0126416
1988m11,-0.0091144,-0.0394784,0.0119516,0.037304,0.0112708
1988m12,-0.0552608,-0.0133673,-0.0409148,0.0135407,-0.0075772
1989m1,0.0502845,0.1327565,-0.040974,0.0073402,-0.0335442
1989m2,0.030349,-0.0180399,0.0372078,-0.01829,0.0310168
1989m3,0.0412329,0.026046,-0.0127584,-0.009253,0.0110374
1989m4,0.0126379,0.0067705,-0.0209893,-0.0113681,0.0091091
1989m5,0.0117086,-0.0059273,-0.0077889,-0.011841,0.0331237
1989m6,-0.0073248,0.0026903,-0.0220053,0.0119885,0.0046209
1989m7,0.0088929,0.0581351,-0.0271264,0.0184228,-0.0026346
1989m8,-0.0244063,0.0220211,-0.0364803,-0.0510539,0.0059019
1989m9,-0.0321296,-0.0385642,0.0183013,0.0150244,-0.0155356
1989m10,-0.1052001,-0.082913,-0.0343185,-0.0103245,0.0120211
1989m11,-0.0220676,0.046814,-0.0445904,-0.0123583,0.0338855
1989m12,-0.0064821,0.0504,-0.0272322,0.0168865,-0.0147303
1990m1,-0.0004537,-0.0389252,0.0364214,0.0088215,-0.0021172
1990m2,-0.0377024,-0.0459135,-0.0082551,-0.0150055,0.01028
1990m3,-0.0343158,-0.0139115,-0.0282147,-0.0126583,0.0183641
1990m4,-0.0485971,-0.071745,0.0035584,0.0090578,-0.0077658
1990m5,0.008595,0.0994997,-0.0521988,0.0141745,-0.0072396
1990m6,0.0044757,0.0075617,0.0076816,0.0045366,0.0074043
1990m7,-0.0461351,-0.0279788,0.0130928,0.0098656,0.0147545
1990m8,-0.0997181,-0.090836,-0.0377111,0.0172842,0.0256931
1990m9,-0.078253,-0.0912623,-0.0176731,-0.0100058,0.0286426
1990m10,-0.0245277,0.0262242,-0.0197527,0.0188539,0.0067155
1990m11,-0.0491578,0.0344519,-0.0398853,0.0307651,0.0223998
1990m12,-0.0285995,-0.0055664,-0.0039732,-0.0106549,-0.0019484
1991m1,-0.0673026,-0.0016569,-0.0638526,-0.0261166,0.0120113
1991m2,0.1018205,0.1048452,0.056278,0.0162101,-0.0620749
1991m3,0.0945989,0.0326938,0.0525222,-0.0233226,-0.0167146
1991m4,-0.0102211,0.0030058,-0.0022978,-0.0158173,0.0053922
1991m5,-0.0791545,-0.0052392,-0.0225299,-0.0335921,0.0281622
1991m6,-0.0385943,-0.0382427,-0.0096916,-0.030075,0.0192334
1991m7,0.0083874,0.0602295,-0.0610712,-0.0005984,0.0361881
1991m8,0.0124475,0.0224308,0.0160698,-0.0117756,-0.005025
1991m9,0.0682986,-0.0059449,0.0519613,0.0111951,0.0163931
1991m10,-0.0090098,-0.0256074,0.002916,-0.0417341,0.0400163
1991m11,-0.0160479,-0.0603157,0.0290892,-0.0372849,0.0218308
1991m12,-0.011686,0.0121873,-0.0657152,-0.0378458,0.0360581
1992m1,-0.0136639,0.0301235,0.0026464,-0.0203267,0.0114107
1992m2,-0.0039185,-0.002156,0.0032775,-0.0077203,0.0292792
1992m3,-0.0616399,-0.0513703,-0.0014996,-0.0177175,0.0143474
1992m4,0.0527095,0.0911688,-0.0020262,0.0551437,-0.0492071
1992m5,0.1038656,0.0190096,0.0344922,-0.0006275,-0.005351
1992m6,-0.056873,-0.0763793,-0.0073819,-0.0098723,0.0387763
1992m7,-0.0892463,-0.0640294,-0.0486993,-0.0400876,0.0166978
